city,activity_name,cost_usd,category,ideal_weather,description
Lima,Paracas y Líneas de Nazca,180,aventura,sunny,"Excursión a las misteriosas líneas de Nazca y reserva natural de Paracas"
Rio de Janeiro,Cristo Redentor,25,cultura,any,"Estatua icónica de Cristo en la cima del Corcovado, una de las 7 maravillas"
Rio de Janeiro,Playa de Copacabana,0,aventura,sunny,"Playa más famosa de Brasil con 4 km de arena blanca"
Rio de Janeiro,Pão de Açúcar,30,cultura,any,Teleférico hasta la cima del Pan de Azúcar con vistas espectaculares
Rio de Janeiro,Sambódromo,20,cultura,any,"Estadio donde se realiza el Carnaval de Río, visita guiada disponible"
Rio de Janeiro,Feijoada Experience,40,gastronomia,any,"Comida tradicional brasileña, plato nacional con frijoles y carne"
Rio de Janeiro,Favela Tour,35,cultura,any,"Visita guiada a comunidades locales para entender la cultura carioca"
Paris,Torre Eiffel,29,cultura,any,"Monumento más icónico de París, símbolo de la ciudad de la luz"
Paris,Museo del Louvre,17,cultura,any,"El museo más visitado del mundo, hogar de la Mona Lisa y Venus de Milo"
Paris,Notre-Dame,0,cultura,any,"Catedral gótica medieval, obra maestra de la arquitectura francesa"
Paris,Champs-Élysées,0,cultura,any,"Avenida más famosa de París con tiendas, cafés y el Arco del Triunfo"
Paris,Crucero por el Sena,15,aventura,any,"Paseo en barco por el río Sena viendo los monumentos de París"
Paris,Barrio de Montmartre,0,cultura,any,"Barrio bohemio con la Basílica del Sacré-Cœur y artistas callejeros"
Barcelona,Sagrada Familia,26,cultura,any,"Obra maestra inacabada de Gaudí, basílica modernista única en el mundo"
Barcelona,Park Güell,10,cultura,any,"Parque diseñado por Gaudí con arquitectura modernista y mosaicos coloridos"
Barcelona,Las Ramblas,0,cultura,any,"Paseo peatonal más famoso de Barcelona con artistas, tiendas y restaurantes"
Barcelona,Casa Batlló,35,cultura,any,"Edificio modernista de Gaudí con fachada inspirada en el mar"           
Barcelona,Barrio Gótico,0,cultura,any,"Centro histórico medieval con calles estrechas y arquitectura gótica"
Barcelona,Paella y Tapas Tour,50,gastronomia,any,"Recorrido gastronómico probando paella, tapas y vinos catalanes"
Rome,Coliseo,18,cultura,any,"Anfiteatro romano más grande del mundo, símbolo del Imperio Romano"
Rome,Foro Romano,18,cultura,any,"Ruinas del centro político y religioso de la antigua Roma"
Rome,Fontana de Trevi,0,cultura,any,"Fuente barroca más famosa de Roma, tradición de lanzar monedas"
Rome,Vaticano y Capilla Sixtina,27,cultura,any,"Museos del Vaticano con la Capilla Sixtina pintada por Miguel Ángel"
Rome,Panteón,0,cultura,any,"Templo romano mejor conservado, convertido en iglesia cristiana"
Rome,Gelato Tour,35,gastronomia,any,"Recorrido probando los mejores helados artesanales de Roma"
London,Big Ben y Parlamento,0,cultura,any,"Palacio de Westminster y el reloj más famoso del mundo"
London,London Eye,32,cultura,any,"Noria gigante con vistas panorámicas de 360 grados de Londres"
London,Museo Británico,0,cultura,any,"Uno de los museos más grandes del mundo con artefactos de todas las culturas"
London,Torre de Londres,33,cultura,any,"Fortaleza histórica que alberga las Joyas de la Corona"
London,Hyde Park,0,aventura,sunny,"Parque real más grande de Londres, ideal para caminar y relajarse"
London,Afternoon Tea,45,gastronomia,any,"Tradición británica de té de la tarde con sándwiches y pasteles"
